=== METRICS: train/normal ===

Normal (1541).png: DSC=0.8783, IoU=0.7830, Sens=0.7887, Spec=0.9970, MCC=0.8455, Kappa=0.8354, HD95=23.49, NSD=0.4769
Normal (1542).png: DSC=0.9198, IoU=0.8515, Sens=0.9617, Spec=0.9528, MCC=0.8904, Kappa=0.8888, HD95=9.66, NSD=0.6005
Normal (1543).png: DSC=0.7923, IoU=0.6560, Sens=0.6603, Spec=0.9968, MCC=0.7457, Kappa=0.7177, HD95=22.09, NSD=0.2068
Normal (1544).png: DSC=0.8817, IoU=0.7885, Sens=0.9536, Spec=0.9570, MCC=0.8588, Kappa=0.8552, HD95=19.00, NSD=0.5960
Normal (1545).png: DSC=0.8937, IoU=0.8078, Sens=0.8166, Spec=0.9954, MCC=0.8616, Kappa=0.8543, HD95=11.00, NSD=0.3973
Normal (1546).png: DSC=0.8951, IoU=0.8102, Sens=0.9347, Spec=0.9595, MCC=0.8673, Kappa=0.8660, HD95=11.40, NSD=0.5343
Normal (1547).png: DSC=0.8611, IoU=0.7561, Sens=0.7647, Spec=0.9933, MCC=0.8086, Kappa=0.7944, HD95=20.00, NSD=0.3670
Normal (1548).png: DSC=0.9238, IoU=0.8585, Sens=0.8940, Spec=0.9834, MCC=0.8956, Kappa=0.8947, HD95=8.00, NSD=0.4449
Normal (1549).png: DSC=0.7936, IoU=0.6578, Sens=0.6584, Spec=0.9995, MCC=0.7470, Kappa=0.7167, HD95=20.00, NSD=0.1469
Normal (1550).png: DSC=0.9019, IoU=0.8213, Sens=0.8348, Spec=0.9947, MCC=0.8783, Kappa=0.8736, HD95=11.18, NSD=0.4037
Normal (1551).png: DSC=0.9098, IoU=0.8345, Sens=0.8477, Spec=0.9934, MCC=0.8805, Kappa=0.8761, HD95=10.02, NSD=0.4906
Normal (1552).png: DSC=0.9023, IoU=0.8220, Sens=0.9368, Spec=0.9511, MCC=0.8675, Kappa=0.8664, HD95=13.00, NSD=0.5078
Normal (1553).png: DSC=0.8531, IoU=0.7439, Sens=0.9560, Spec=0.9379, MCC=0.8243, Kappa=0.8169, HD95=33.94, NSD=0.5178
Normal (1554).png: DSC=0.9093, IoU=0.8336, Sens=0.9618, Spec=0.9619, MCC=0.8873, Kappa=0.8852, HD95=12.74, NSD=0.5516
Normal (1555).png: DSC=0.9441, IoU=0.8940, Sens=0.9224, Spec=0.9852, MCC=0.9194, Kappa=0.9189, HD95=8.00, NSD=0.5944
Normal (1556).png: DSC=0.8604, IoU=0.7550, Sens=0.8957, Spec=0.9197, MCC=0.7981, Kappa=0.7968, HD95=25.00, NSD=0.4038
Normal (1557).png: DSC=0.8973, IoU=0.8137, Sens=0.9630, Spec=0.9481, MCC=0.8691, Kappa=0.8656, HD95=19.42, NSD=0.5750
Normal (1558).png: DSC=0.9249, IoU=0.8602, Sens=0.9328, Spec=0.9713, MCC=0.8990, Kappa=0.8990, HD95=12.10, NSD=0.6179
Normal (1559).png: DSC=0.9350, IoU=0.8779, Sens=0.9660, Spec=0.9588, MCC=0.9081, Kappa=0.9071, HD95=7.00, NSD=0.5673
Normal (1560).png: DSC=0.8774, IoU=0.7816, Sens=0.8188, Spec=0.9799, MCC=0.8348, Kappa=0.8307, HD95=13.52, NSD=0.2517
Normal (1561).png: DSC=0.6646, IoU=0.4977, Sens=0.9852, Spec=0.8303, MCC=0.6375, Kappa=0.5830, HD95=28.18, NSD=0.1808
Normal (1562).png: DSC=0.8737, IoU=0.7757, Sens=0.8958, Spec=0.9438, MCC=0.8268, Kappa=0.8263, HD95=16.12, NSD=0.3827
Normal (1563).png: DSC=0.9226, IoU=0.8564, Sens=0.9332, Spec=0.9613, MCC=0.8888, Kappa=0.8887, HD95=9.22, NSD=0.5134
Normal (1564).png: DSC=0.9101, IoU=0.8350, Sens=0.9211, Spec=0.9566, MCC=0.8717, Kappa=0.8716, HD95=13.45, NSD=0.5075
Normal (1565).png: DSC=0.9049, IoU=0.8264, Sens=0.8314, Spec=0.9973, MCC=0.8751, Kappa=0.8685, HD95=13.01, NSD=0.4526
Normal (1566).png: DSC=0.7916, IoU=0.6551, Sens=0.7513, Spec=0.9319, MCC=0.7044, Kappa=0.7023, HD95=25.00, NSD=0.2177
Normal (1567).png: DSC=0.9118, IoU=0.8378, Sens=0.8989, Spec=0.9618, MCC=0.8667, Kappa=0.8665, HD95=9.00, NSD=0.3295
