=== METRICS: train/normal ===

Normal (1556).png: DSC=0.8847, IoU=0.7932, Sens=0.8286, Spec=0.9808, MCC=0.8434, Kappa=0.8397, HD95=26.57, NSD=0.2372
Normal (1557).png: DSC=0.9084, IoU=0.8321, Sens=0.8573, Spec=0.9915, MCC=0.8869, Kappa=0.8844, HD95=20.00, NSD=0.2244
Normal (1558).png: DSC=0.8667, IoU=0.7647, Sens=0.7837, Spec=0.9915, MCC=0.8353, Kappa=0.8275, HD95=43.60, NSD=0.2237
Normal (1559).png: DSC=0.5515, IoU=0.3807, Sens=0.4351, Spec=0.9415, MCC=0.4574, Kappa=0.4301, HD95=118.02, NSD=0.0763
Normal (1560).png: DSC=0.8712, IoU=0.7718, Sens=0.8094, Spec=0.9794, MCC=0.8270, Kappa=0.8224, HD95=34.71, NSD=0.1411
Normal (1561).png: DSC=0.4784, IoU=0.3144, Sens=0.3643, Spec=0.9725, MCC=0.4475, Kappa=0.4195, HD95=252.78, NSD=0.1461
Normal (1562).png: DSC=0.8697, IoU=0.7695, Sens=0.8350, Spec=0.9691, MCC=0.8263, Kappa=0.8250, HD95=46.00, NSD=0.1279
Normal (1563).png: DSC=0.6222, IoU=0.4516, Sens=0.4650, Spec=0.9872, MCC=0.5825, Kappa=0.5279, HD95=103.78, NSD=0.2101
Normal (1564).png: DSC=0.9195, IoU=0.8510, Sens=0.9026, Spec=0.9745, MCC=0.8868, Kappa=0.8865, HD95=21.02, NSD=0.2091
Normal (1565).png: DSC=0.8240, IoU=0.7007, Sens=0.7110, Spec=0.9936, MCC=0.7817, Kappa=0.7637, HD95=42.05, NSD=0.2023
Normal (1566).png: DSC=0.9075, IoU=0.8307, Sens=0.9202, Spec=0.9500, MCC=0.8640, Kappa=0.8638, HD95=34.49, NSD=0.1367
Normal (1567).png: DSC=0.8920, IoU=0.8050, Sens=0.8721, Spec=0.9563, MCC=0.8377, Kappa=0.8372, HD95=29.18, NSD=0.1008
Normal (1568).png: DSC=0.6692, IoU=0.5029, Sens=0.5062, Spec=0.9982, MCC=0.6623, Kappa=0.6137, HD95=118.42, NSD=0.1519
Normal (1569).png: DSC=0.8541, IoU=0.7454, Sens=0.7937, Spec=0.9691, MCC=0.7969, Kappa=0.7922, HD95=50.98, NSD=0.1832
Normal (1570).png: DSC=0.9127, IoU=0.8393, Sens=0.8650, Spec=0.9864, MCC=0.8794, Kappa=0.8767, HD95=22.17, NSD=0.2853
Normal (1571).png: DSC=0.5827, IoU=0.4111, Sens=0.4135, Spec=0.9974, MCC=0.5636, Kappa=0.4871, HD95=195.10, NSD=0.0717
Normal (1572).png: DSC=0.8386, IoU=0.7221, Sens=0.7293, Spec=0.9960, MCC=0.8026, Kappa=0.7867, HD95=43.94, NSD=0.2838
