=== METRICS: train/covid-19 ===

covid_29.png: DSC=0.9116, IoU=0.8376, Sens=0.8842, Spec=0.9851, MCC=0.8895, Kappa=0.8888, HD95=28.54, NSD=0.2483
covid_31.png: DSC=0.0529, IoU=0.0271, Sens=0.0274, Spec=0.9911, MCC=0.0708, Kappa=0.0203, HD95=166.44, NSD=0.0378
covid_32.png: DSC=0.8623, IoU=0.7580, Sens=0.7840, Spec=0.9829, MCC=0.8118, Kappa=0.8035, HD95=31.78, NSD=0.1354
covid_33.png: DSC=0.9069, IoU=0.8297, Sens=0.8409, Spec=0.9938, MCC=0.8744, Kappa=0.8690, HD95=30.08, NSD=0.2814
covid_35.png: DSC=0.6788, IoU=0.5138, Sens=0.5156, Spec=0.9994, MCC=0.6876, Kappa=0.6439, HD95=102.57, NSD=0.1122
covid_37.png: DSC=0.7865, IoU=0.6482, Sens=0.6799, Spec=0.9868, MCC=0.7537, Kappa=0.7398, HD95=36.19, NSD=0.1274
covid_38.png: DSC=0.8576, IoU=0.7506, Sens=0.7948, Spec=0.9897, MCC=0.8385, Kappa=0.8350, HD95=29.73, NSD=0.2438
covid_39.png: DSC=0.5183, IoU=0.3498, Sens=0.3500, Spec=0.9999, MCC=0.5547, Kappa=0.4710, HD95=105.18, NSD=0.0711
covid_4.png: DSC=0.4820, IoU=0.3175, Sens=0.3191, Spec=0.9987, MCC=0.5155, Kappa=0.4247, HD95=86.31, NSD=0.0497
covid_41.png: DSC=0.0535, IoU=0.0275, Sens=0.0293, Spec=0.9859, MCC=0.0450, Kappa=0.0238, HD95=136.39, NSD=0.0851
covid_42.png: DSC=0.8658, IoU=0.7634, Sens=0.8166, Spec=0.9817, MCC=0.8356, Kappa=0.8333, HD95=23.00, NSD=0.1491
covid_44.png: DSC=0.5796, IoU=0.4080, Sens=0.4152, Spec=0.9962, MCC=0.5905, Kappa=0.5294, HD95=63.77, NSD=0.1608
covid_45.png: DSC=0.8724, IoU=0.7738, Sens=0.7992, Spec=0.9869, MCC=0.8344, Kappa=0.8280, HD95=32.08, NSD=0.2127
