=== METRICS: train/tb ===

DARCXR_383.png: DSC=0.7803, IoU=0.6398, Sens=0.6406, Spec=0.9992, MCC=0.7233, Kappa=0.6876, HD95=29.00, NSD=0.2198
DARCXR_385.png: DSC=0.7185, IoU=0.5606, Sens=0.5610, Spec=0.9995, MCC=0.6488, Kappa=0.5930, HD95=36.40, NSD=0.1317
DARCXR_386.png: DSC=0.7757, IoU=0.6336, Sens=0.6367, Spec=0.9961, MCC=0.6950, Kappa=0.6544, HD95=33.28, NSD=0.2513
DARCXR_387.png: DSC=0.7924, IoU=0.6562, Sens=0.7654, Spec=0.9196, MCC=0.6981, Kappa=0.6972, HD95=24.00, NSD=0.1961
DARCXR_388.png: DSC=0.7806, IoU=0.6401, Sens=0.6973, Spec=0.9619, MCC=0.7115, Kappa=0.7021, HD95=31.14, NSD=0.3330
DARCXR_389.png: DSC=0.5272, IoU=0.3579, Sens=0.3589, Spec=0.9976, MCC=0.4787, Kappa=0.3762, HD95=50.91, NSD=0.0474
DARCXR_395.png: DSC=0.7638, IoU=0.6179, Sens=0.6196, Spec=0.9985, MCC=0.7122, Kappa=0.6746, HD95=32.12, NSD=0.2342
DARCXR_399.png: DSC=0.6700, IoU=0.5037, Sens=0.6376, Spec=0.9316, MCC=0.5916, Kappa=0.5904, HD95=24.03, NSD=0.3169
DARCXR_400.png: DSC=0.6844, IoU=0.5202, Sens=0.5300, Spec=0.9910, MCC=0.6381, Kappa=0.5909, HD95=33.38, NSD=0.2280
DARCXR_402.png: DSC=0.6369, IoU=0.4673, Sens=0.4687, Spec=0.9983, MCC=0.5985, Kappa=0.5300, HD95=35.70, NSD=0.2559
DARCXR_406.png: DSC=0.6947, IoU=0.5322, Sens=0.5344, Spec=0.9982, MCC=0.6605, Kappa=0.6101, HD95=32.88, NSD=0.1843
DARCXR_407.png: DSC=0.6999, IoU=0.5383, Sens=0.5407, Spec=0.9982, MCC=0.6702, Kappa=0.6226, HD95=33.00, NSD=0.1849
DARCXR_409.png: DSC=0.7430, IoU=0.5912, Sens=0.5927, Spec=0.9984, MCC=0.6894, Kappa=0.6460, HD95=36.00, NSD=0.2161
DARCXR_411.png: DSC=0.6945, IoU=0.5320, Sens=0.5352, Spec=0.9964, MCC=0.6380, Kappa=0.5829, HD95=38.07, NSD=0.2048
DARCXR_412.png: DSC=0.8389, IoU=0.7225, Sens=0.7502, Spec=0.9782, MCC=0.7751, Kappa=0.7633, HD95=31.00, NSD=0.4252
DARCXR_413.png: DSC=0.8388, IoU=0.7224, Sens=0.7352, Spec=0.9838, MCC=0.7487, Kappa=0.7271, HD95=33.06, NSD=0.2264
